Designator,Manufacturer Part Number,Value,Package,
C1,KEMET C0402C222J8JACTU,2.2nF,C0402,
C2,KEMET C0402C222J8JACTU,2.2nF,C0402,
C3,AVX 0402YD104KAT2A,100nF,C0402,
C4,KEMET C0402C106M9PACTU,10uF,C1005,
C5,Murata GRM155R61A225KE95D,2.2uF,C0402,
C6,Murata GRM155R61A225KE95D,2.2uF,C0402,
C7,MF-CAP-0402-1nF,1nF,C0402,
C8,AVX 0402YD104KAT2A,100nF,C0402,
C9,AVX 0402YD104KAT2A,100nF,C0402,
C10,Samsung CL05A105KO5NNNC,1uF,C0402,
C11,Samsung CL05B103KB5NNNC,10nF,C0402,
C12,AVX 0402YD104KAT2A,100nF,C0402,
R1,MF-RES-0402-470,470Ohm,R0402,
R2,MF-RES-0402-470,470Ohm,R0402,
R3,TE Connectivity CPF0402B1K74E1,1k7Ohm,R0402,
R4,TE Connectivity CPF0402B3K3E1,3k3Ohm,R0402,
R5,MF-RES-0402-100K,100kOhm,R0402,
R6,MF-RES-0402-100K,100kOhm,R0402,
U$1,Texas Instruments PCM5102APW,PCM5102A,PCM5102A,
U$2,Texas Instruments TPS71718DCKR,TPS717,TPS717,
U1,BeagleBoard POCKETBEAGLE,Canine,Pocket,
X1,Adafruit 1699,StereoJack,-,
X2,Adafruit 2225,USB,USB-A,
CN1,Adafruit 1769,JST-PH 2-Pin,SMT,
